order_id,user_id,order_date,product_id,product_name,category,quantity,unit_price,channel,region,payment_status
O000075,U00814,2025/11/30,P014,香薰加湿器,家居生活,1,145.75,信息流广告,华南,已支付
O000076,U00598,2025.04.24,P007,轻薄羽绒服,服饰鞋包,3,422.42,信息流广告,华东,已支付
O000077,U00623,2025/12/14,P012,坚果礼盒,食品饮料,1,115.4,直播间,华中,已支付
O000078,U00978,2025-06-25,P008,通勤帆布包,服饰鞋包,1,140.92,直播间,华中,退款
O000079,U00464,2025.05.26,P001,无线蓝牙耳机,数码配件,3,187.77,直播间,华南,已支付
O000080,U00925,2025年02月25日,P004,补水面膜套装,美妆个护,3,72.33,直播间,华北,已支付
O000081,U00219,2025年07月25日,P003,智能手表,数码配件,1,488.19,社群团购,华中,已支付
O000082,U01358,2025-05-18,P008,通勤帆布包,服饰鞋包,1,131.42,直播间,东北,已支付
O000083,U01310,2025.01.18,P011,精品挂耳咖啡,食品饮料,1,80.76,信息流广告,华中,已支付
O000084,U00092,2025-03-09,P004,补水面膜套装,美妆个护,2,99.7,信息流广告,华北,已支付
O000085,U00880,2025/07/18,P009,跑步运动鞋,服饰鞋包,1,338.67,信息流广告,华东,已支付
O000086,U00643,2025/07/20,P012,坚果礼盒,食品饮料,1,141.83,会员短信,华南,已支付
O000087,U00698,2025年06月01日,P011,精品挂耳咖啡,食品饮料,1,60.61,社群团购,华东,已支付
O000088,U00923,2025-11-21,P002,机械键盘,数码配件,1,228.33,自然搜索,华北,已支付
O000089,U00209,2025/06/17,P013,人体工学椅,家居生活,1,796.17,自然搜索,西南,已支付
O000090,U00816,2025.11.09,P008,通勤帆布包,服饰鞋包,2,144.39,社群团购,华东,已支付
O000091,U00059,2025/10/12,P003,智能手表,数码配件,1,517.02,信息流广告,华南,已支付
O000092,U00183,2025-10-29,P005,氨基酸洗面奶,美妆个护,3,75.38,社群团购,西北,已支付
O000093,U00529,2025年11月08日,P007,轻薄羽绒服,服饰鞋包,2,299.77,会员短信,华东,已支付
O000094,U00662,2025-10-23,P005,氨基酸洗面奶,美妆个护,1,62.21,自然搜索,华中,退款
O000095,U00195,2025年12月07日,P001,无线蓝牙耳机,数码配件,1,152.44,信息流广告,华南,退款
O000096,U01392,2025/11/23,P010,即食燕麦组合,食品饮料,1,47.49,信息流广告,华南,已支付
O000097,U00155,2025年01月30日,P001,无线蓝牙耳机,数码配件,4,181.13,信息流广告,华东,已支付
O000098,U00084,2025-05-04,P001,无线蓝牙耳机,数码配件,1,169.93,自然搜索,华中,已支付
O000099,U01160,2025/04/25,P011,精品挂耳咖啡,食品饮料,1,70.43,信息流广告,华南,已支付
O000100,U01229,2025年08月10日,P009,跑步运动鞋,服饰鞋包,2,339.67,自然搜索,华东,已支付
O000101,U00529,2025-08-14,P001,无线蓝牙耳机,数码配件,1,148.85,信息流广告,华中,已支付
O000102,U01151,2025.10.28,P002,机械键盘,数码配件,1,265.59,自然搜索,华中,已支付
O000103,U00895,2025年08月24日,P009,跑步运动鞋,服饰鞋包,3,339.28,自然搜索,华南,已支付
O000104,U00908,2025/10/08,P015,收纳箱套装,家居生活,2,93.18,信息流广告,西南,已支付
O000105,U00686,2025/02/13,P015,收纳箱套装,家居生活,1,89.04,会员短信,华南,已支付
O000106,U01356,2025-07-27,P012,坚果礼盒,食品饮料,1,128.34,直播间,华南,已支付
O000107,U01029,2025年11月24日,P006,精华液礼盒,美妆个护,1,208.34,信息流广告,西北,已取消
O000108,U00512,2025.03.04,P011,精品挂耳咖啡,食品饮料,1,85.58,自然搜索,西北,已支付
O000109,U00747,2025年04月21日,P014,香薰加湿器,家居生活,1,226.84,信息流广告,华北,已取消
O000110,U00468,2025-12-03,P012,坚果礼盒,食品饮料,1,122.17,直播间,华中,已支付
O000111,U00299,2025年09月11日,P008,通勤帆布包,服饰鞋包,3,142.95,自然搜索,华北,已取消
O000112,U01261,2025-11-25,P005,氨基酸洗面奶,美妆个护,1,54.66,,华东,已支付
O000113,U00151,2025-08-16,P011,精品挂耳咖啡,食品饮料,1,76.51,直播间,华东,已支付
O000114,U01002,2025.10.16,P007,轻薄羽绒服,服饰鞋包,1,362.74,信息流广告,西北,已支付
O000115,U00078,2025-03-07,P009,跑步运动鞋,服饰鞋包,2,316.93,自然搜索,华南,已支付
O000116,U00230,2025.05.19,P011,精品挂耳咖啡,食品饮料,1,76.35,信息流广告,华东,已支付
O000117,U00974,2025年04月02日,P006,精华液礼盒,美妆个护,2,252.79,信息流广告,华东,已支付
O000118,U00056,2025-08-05,P005,氨基酸洗面奶,美妆个护,1,57.03,自然搜索,华东,已支付
O000119,U00836,2025年07月10日,P001,无线蓝牙耳机,数码配件,1,176.34,信息流广告,西南,已支付
O000120,U00287,2025/06/03,P013,人体工学椅,家居生活,1,762.18,信息流广告,华南,已支付
O000121,U00843,2025年01月06日,P010,即食燕麦组合,食品饮料,2,56.98,自然搜索,华东,已支付
O000122,U00550,2025/09/30,P003,智能手表,数码配件,1,395.94,会员短信,华南,已支付
O000123,U00052,2025/10/14,P015,收纳箱套装,家居生活,1,116.65,信息流广告,华东,已支付
O000124,U01286,2025年12月15日,P009,跑步运动鞋,服饰鞋包,1,325.9,信息流广告,华东,退款
O000125,U00398,2025-11-04,P001,无线蓝牙耳机,数码配件,1,177.7,会员短信,华中,已支付
O000126,U00721,2025年11月08日,P007,轻薄羽绒服,服饰鞋包,2,337.61,自然搜索,华东,已支付
O000127,U00163,2025-11-04,P006,精华液礼盒,美妆个护,3,266.41,会员短信,西南,已支付
O000128,U00899,2025.01.12,P002,机械键盘,数码配件,1,,会员短信,东北,已支付
O000129,U00375,2025/09/29,P008,通勤帆布包,服饰鞋包,1,154.21,自然搜索,西南,已支付
O000130,U01347,2025年03月09日,P005,氨基酸洗面奶,美妆个护,2,59.03,直播间,华东,已支付
O000131,U00800,2025-05-18,P004,补水面膜套装,美妆个护,1,87.71,社群团购,华南,已支付
O000132,U00909,2025年09月14日,P002,机械键盘,数码配件,1,279.59,会员短信,华东,已支付
O000133,U00992,2025年04月08日,P006,精华液礼盒,美妆个护,2,242.23,直播间,东北,已支付
O000134,U00985,2025/12/27,P004,补水面膜套装,美妆个护,2,69.18,社群团购,华北,已支付
O000135,U00476,2025年04月03日,P009,跑步运动鞋,服饰鞋包,1,347.09,自然搜索,西南,已支付
O000136,U00652,2025年02月11日,P008,通勤帆布包,服饰鞋包,2,170.54,信息流广告,华北,已支付
O000137,U01356,2025.06.23,P014,香薰加湿器,家居生活,1,153.29,自然搜索,华南,已支付
O000138,U00605,2025.09.23,P015,收纳箱套装,家居生活,2,96.96,会员短信,华南,已支付
O000139,U00339,2025/01/09,P011,精品挂耳咖啡,食品饮料,1,56.94,自然搜索,华南,已支付
O000140,U01315,2025/06/21,P003,智能手表,数码配件,1,516.06,直播间,华东,已支付
O000141,U00889,2025.03.06,P008,通勤帆布包,服饰鞋包,2,136.09,自然搜索,西南,已支付
O000142,U00609,2025/03/23,P006,精华液礼盒,美妆个护,1,272.73,自然搜索,华北,已支付
O000143,U01097,2025.04.10,P007,轻薄羽绒服,服饰鞋包,1,387.16,信息流广告,西南,已支付
O000144,U00034,2025年11月09日,P011,精品挂耳咖啡,食品饮料,1,73.24,自然搜索,西南,已支付
O000145,U00256,2025年08月03日,P006,精华液礼盒,美妆个护,1,216.2,社群团购,西南,已支付
O000146,U00656,2025-04-18,P005,氨基酸洗面奶,美妆个护,1,76.4,信息流广告,华东,已支付
O000147,U01035,2025年10月01日,P003,智能手表,数码配件,2,543.29,会员短信,西北,已支付
O000148,U01287,2025-05-03,P001,无线蓝牙耳机,数码配件,1,162.46,自然搜索,西北,已支付
O000149,U00766,2025/07/17,P015,收纳箱套装,家居生活,1,99.32,社群团购,华东,退款
O000150,U00833,2025/10/03,P003,智能手表,数码配件,1,432.51,直播间,华东,已取消
O000151,U00924,2025-11-11,P006,精华液礼盒,美妆个护,3,,社群团购,华中,已支付
O000152,U00777,2025年08月02日,P010,即食燕麦组合,食品饮料,1,61.72,信息流广告,华东,已支付
O000153,U00585,2025/03/24,P012,坚果礼盒,食品饮料,1,108.15,自然搜索,华东,已取消
O000154,U01166,2025-11-12,P002,机械键盘,数码配件,1,278.08,信息流广告,华南,已支付
O000155,U00448,2025-09-01,P011,精品挂耳咖啡,食品饮料,1,69.48,自然搜索,华东,已支付
O000156,U00064,2025-07-11,P002,机械键盘,数码配件,1,294.09,会员短信,华东,已取消
O000157,U00216,2025/03/15,P015,收纳箱套装,家居生活,1,,自然搜索,华中,已支付
O000158,U00080,2025.07.15,P010,即食燕麦组合,食品饮料,1,58.22,会员短信,华北,已支付
O000159,U00838,2025/06/22,P003,智能手表,数码配件,1,351.89,直播间,华南,已支付
O000160,U00877,2025/01/30,P001,无线蓝牙耳机,数码配件,1,197.83,自然搜索,华中,已支付
O000161,U00915,2025年10月05日,P003,智能手表,数码配件,2,543.5,社群团购,华南,已取消
O000162,U00995,2025年02月28日,P011,精品挂耳咖啡,食品饮料,2,72.51,信息流广告,华北,已支付
O000163,U00434,2025.10.17,P002,机械键盘,数码配件,1,290.05,信息流广告,西南,已支付
O000164,U00366,2025年08月05日,P007,轻薄羽绒服,服饰鞋包,3,437.01,自然搜索,华南,已支付
O000165,U01365,2025.10.27,P009,跑步运动鞋,服饰鞋包,3,280.29,社群团购,华东,已支付
O000166,U00004,2025.03.10,P010,即食燕麦组合,食品饮料,1,55.37,社群团购,华东,已支付
O000167,U00667,2025.10.23,P012,坚果礼盒,食品饮料,4,118.1,,华北,已支付
O000168,U00211,2025/09/03,P014,香薰加湿器,家居生活,3,204.53,直播间,华北,已支付
O000169,U00713,2025.12.09,P009,跑步运动鞋,服饰鞋包,4,215.89,自然搜索,华北,已支付
O000170,U00748,2025年12月27日,P011,精品挂耳咖啡,食品饮料,1,56.89,自然搜索,华东,已支付
O000171,U00857,2025.06.28,P003,智能手表,数码配件,2,400.15,会员短信,西南,已支付
O000172,U00151,2025年08月27日,P015,收纳箱套装,家居生活,2,99.21,信息流广告,东北,已支付
O000173,U00823,2025.08.09,P013,人体工学椅,家居生活,1,857.2,自然搜索,华东,已支付
O000174,U00973,2025-02-06,P001,无线蓝牙耳机,数码配件,1,179.23,自然搜索,西北,已支付
O000175,U01069,2025/07/21,P008,通勤帆布包,服饰鞋包,2,161.96,信息流广告,华东,已支付
O000176,U00835,2025/05/18,P002,机械键盘,数码配件,1,291.95,信息流广告,华北,已支付
O000177,U01023,2025年11月23日,P012,坚果礼盒,食品饮料,2,85.25,直播间,西南,已支付
O000178,U00324,2025年07月24日,P012,坚果礼盒,食品饮料,1,143.83,会员短信,华东,已支付
O000179,U00281,2025.04.28,P009,跑步运动鞋,服饰鞋包,1,322.47,会员短信,华东,已支付
O000180,U01064,2025年11月06日,P013,人体工学椅,家居生活,1,652.58,自然搜索,华南,已支付
O000181,U00878,2025-07-24,P012,坚果礼盒,食品饮料,1,120.95,会员短信,西北,已支付
O000182,U00555,2025年01月16日,P015,收纳箱套装,家居生活,1,89.47,社群团购,华北,已支付
O000183,U00509,2025.08.09,P004,补水面膜套装,美妆个护,2,75.83,自然搜索,华南,已支付
O000184,U00747,2025.10.19,P010,即食燕麦组合,食品饮料,1,55.02,社群团购,华东,已取消
O000185,U01224,2025-09-12,P005,氨基酸洗面奶,美妆个护,1,68.3,自然搜索,华南,已支付
O000186,U00288,2025-07-18,P009,跑步运动鞋,服饰鞋包,3,321.35,直播间,华北,已取消
O000187,U00177,2025年07月11日,P013,人体工学椅,家居生活,2,765.78,自然搜索,西南,已支付
O000188,U00414,2025.11.10,P014,香薰加湿器,家居生活,2,181.29,会员短信,华南,已支付
O000189,U00698,2025年09月04日,P001,无线蓝牙耳机,数码配件,1,219.94,自然搜索,华南,已支付
O000190,U01140,2025.12.03,P004,补水面膜套装,美妆个护,1,77.21,会员短信,西北,已支付
O000191,U01024,2025/12/02,P009,跑步运动鞋,服饰鞋包,3,329.43,直播间,西南,已支付
O000192,U01068,2025.06.02,P002,机械键盘,数码配件,2,221.23,信息流广告,西北,已支付
O000193,U00781,2025-01-21,P003,智能手表,数码配件,1,533.31,信息流广告,华南,已取消
O000194,U01284,2025-12-19,P001,无线蓝牙耳机,数码配件,1,163.85,信息流广告,西北,已取消
O000195,U01092,2025.05.02,P005,氨基酸洗面奶,美妆个护,1,59.2,会员短信,华东,已支付
O000196,U00058,2025.10.30,P009,跑步运动鞋,服饰鞋包,2,355.41,社群团购,华东,已支付
O000197,U01055,2025.09.15,P013,人体工学椅,家居生活,2,897.2,会员短信,东北,已支付
O000198,U00958,2025.04.05,P002,机械键盘,数码配件,2,283.13,直播间,华南,已支付
O000199,U00969,2025-12-02,P009,跑步运动鞋,服饰鞋包,1,223.24,社群团购,西北,已支付
O000200,U00371,2025年11月22日,P007,轻薄羽绒服,服饰鞋包,1,293.78,自然搜索,西北,已支付
O000201,U01385,2025/11/17,P004,补水面膜套装,美妆个护,1,75.55,社群团购,华南,已支付
O000202,U00922,2025-12-26,P004,补水面膜套装,美妆个护,1,84.94,自然搜索,华中,已取消
O000203,U00771,2025.12.26,P002,机械键盘,数码配件,1,267.74,自然搜索,华南,已支付
O000204,U00646,2025/11/08,P003,智能手表,数码配件,2,502.24,自然搜索,华东,已支付
O000205,U01033,2025.03.18,P004,补水面膜套装,美妆个护,1,79.41,信息流广告,华北,已支付
O000206,U00244,2025年06月24日,P004,补水面膜套装,美妆个护,1,65.16,信息流广告,华南,已支付
O000207,U00702,2025-11-15,P013,人体工学椅,家居生活,1,644.13,自然搜索,西南,已支付
O000208,U01106,2025年09月25日,P014,香薰加湿器,家居生活,1,195.7,自然搜索,华南,已支付
O000209,U00355,2025/08/25,P001,无线蓝牙耳机,数码配件,2,152.45,直播间,西南,已支付
O000210,U01293,2025/07/24,P007,轻薄羽绒服,服饰鞋包,4,407.05,社群团购,华南,已支付
O000211,U00062,2025/01/22,P005,氨基酸洗面奶,美妆个护,1,49.83,自然搜索,华南,已支付
O000212,U00570,2025年09月19日,P008,通勤帆布包,服饰鞋包,1,147.49,直播间,华南,已支付
O000213,U01037,2025-07-24,P002,机械键盘,数码配件,1,280.0,社群团购,华南,已支付
O000214,U00764,2025/06/10,P010,即食燕麦组合,食品饮料,1,42.74,直播间,华东,已支付
O000215,U00969,2025/10/13,P009,跑步运动鞋,服饰鞋包,1,370.84,会员短信,华中,已支付
O000216,U01129,2025-05-17,P004,补水面膜套装,美妆个护,1,86.06,直播间,东北,已支付
O000217,U00722,2025年10月22日,P001,无线蓝牙耳机,数码配件,1,196.31,信息流广告,华北,已支付
O000218,U00138,2025-05-14,P003,智能手表,数码配件,2,512.89,社群团购,华北,已支付
O000219,U01344,2025/02/15,P003,智能手表,数码配件,1,449.71,信息流广告,华南,已支付
O000220,U01115,2025.05.17,P012,坚果礼盒,食品饮料,2,132.96,直播间,华东,已支付
O000221,U00568,2025/11/26,P010,即食燕麦组合,食品饮料,1,45.73,自然搜索,华东,已支付
O000222,U01050,2025年09月09日,P012,坚果礼盒,食品饮料,2,119.84,信息流广告,华北,已支付
O000223,U01360,2025年01月15日,P010,即食燕麦组合,食品饮料,1,61.69,自然搜索,华南,已支付
O000224,U00795,2025.07.14,P004,补水面膜套装,美妆个护,1,89.47,直播间,华东,已支付
O000225,U00763,2025/04/03,P006,精华液礼盒,美妆个护,1,254.03,自然搜索,东北,已支付
O000226,U00628,2025-01-17,P003,智能手表,数码配件,1,483.97,自然搜索,华中,已支付
O000227,U01134,2025.11.28,P012,坚果礼盒,食品饮料,1,74.3,自然搜索,华东,已支付
O000228,U00405,2025-05-30,P013,人体工学椅,家居生活,1,1010.55,会员短信,华北,已支付
O000229,U01232,2025-06-01,P008,通勤帆布包,服饰鞋包,2,,自然搜索,西南,已支付
O000230,U00592,2025.01.25,P011,精品挂耳咖啡,食品饮料,2,64.54,自然搜索,华北,已支付
O000231,U00214,2025/03/24,P005,氨基酸洗面奶,美妆个护,1,68.15,直播间,华南,已支付
O000232,U00032,2025-04-10,P012,坚果礼盒,食品饮料,1,120.98,信息流广告,华北,已取消
O000233,U00156,2025.05.31,P002,机械键盘,数码配件,1,280.42,信息流广告,华东,已支付
O000234,U00332,2025年11月05日,P001,无线蓝牙耳机,数码配件,1,194.38,自然搜索,西北,已支付
O000235,U00979,2025年05月16日,P013,人体工学椅,家居生活,2,815.58,,西南,已支付
O000236,U01006,2025/06/01,P003,智能手表,数码配件,1,431.04,自然搜索,西南,退款
O000237,U00323,2025/09/09,P001,无线蓝牙耳机,数码配件,1,158.49,直播间,华南,已支付
O000238,U00570,2025/11/27,P008,通勤帆布包,服饰鞋包,1,147.3,直播间,华东,退款
O000239,U00079,2025年08月04日,P008,通勤帆布包,服饰鞋包,2,149.92,直播间,华东,已支付
O000240,U00209,2025.08.10,P007,轻薄羽绒服,服饰鞋包,1,388.3,社群团购,华南,已支付
O000241,U00527,2025/11/20,P003,智能手表,数码配件,3,405.43,社群团购,西北,已支付
O000242,U00913,2025年11月13日,P015,收纳箱套装,家居生活,1,70.65,会员短信,东北,已支付
O000243,U00114,2025年05月07日,P005,氨基酸洗面奶,美妆个护,2,75.92,直播间,西北,已支付
O000244,U00279,2025年07月09日,P015,收纳箱套装,家居生活,2,79.47,会员短信,华南,已支付
O000245,U00952,2025.01.02,P015,收纳箱套装,家居生活,1,85.24,信息流广告,华南,已支付
O000246,U00140,2025/02/02,P007,轻薄羽绒服,服饰鞋包,1,336.06,直播间,华北,已支付
O000247,U00707,2025-10-28,P012,坚果礼盒,食品饮料,2,149.38,直播间,西北,已支付
O000248,U00258,2025-08-30,P001,无线蓝牙耳机,数码配件,1,199.68,直播间,东北,已支付
O000249,U01381,2025-09-27,P006,精华液礼盒,美妆个护,1,262.45,会员短信,华中,已支付
O000250,U00896,2025/09/22,P013,人体工学椅,家居生活,1,1064.29,会员短信,华中,已支付
O000251,U00020,2025年05月20日,P008,通勤帆布包,服饰鞋包,1,132.31,直播间,西北,已支付
O000252,U00937,2025年12月09日,P002,机械键盘,数码配件,1,243.81,信息流广告,华北,已支付
O000253,U01213,2025年02月06日,P012,坚果礼盒,食品饮料,1,115.79,直播间,华东,已支付
O000254,U00540,2025.06.15,P011,精品挂耳咖啡,食品饮料,1,69.49,直播间,华南,已支付
O000255,U01274,2025-10-27,P014,香薰加湿器,家居生活,1,197.31,直播间,华南,已支付
O000256,U01012,2025-12-10,P015,收纳箱套装,家居生活,1,92.35,自然搜索,华北,已支付
O000257,U00389,2025年01月10日,P009,跑步运动鞋,服饰鞋包,2,352.53,信息流广告,东北,已支付
O000258,U00965,2025/12/21,P004,补水面膜套装,美妆个护,1,78.58,直播间,华北,已支付
O000259,U00314,2025-01-12,P014,香薰加湿器,家居生活,1,175.18,信息流广告,华东,已支付
O000260,U00359,2025-11-11,P008,通勤帆布包,服饰鞋包,1,125.6,自然搜索,华北,已支付
O000261,U00484,2025/11/05,P009,跑步运动鞋,服饰鞋包,1,316.24,自然搜索,华北,已支付
O000262,U00363,2025.11.07,P008,通勤帆布包,服饰鞋包,1,142.6,会员短信,华东,已支付
O000263,U00862,2025-01-07,P014,香薰加湿器,家居生活,3,189.32,信息流广告,华东,已支付
O000264,U00364,2025/05/02,P004,补水面膜套装,美妆个护,2,73.64,直播间,西南,已支付
O000265,U00764,2025-11-21,P008,通勤帆布包,服饰鞋包,1,139.94,会员短信,东北,已支付
O000266,U00998,2025-08-12,P009,跑步运动鞋,服饰鞋包,2,247.56,自然搜索,华东,已支付
O000267,U00750,2025/03/04,P015,收纳箱套装,家居生活,1,110.14,会员短信,华南,已支付
O000268,U00671,2025年03月31日,P008,通勤帆布包,服饰鞋包,1,,直播间,华东,已支付
O000269,U01176,2025/08/31,P004,补水面膜套装,美妆个护,1,78.43,会员短信,华北,已支付
O000270,U00900,2025-12-19,P001,无线蓝牙耳机,数码配件,2,148.67,直播间,华北,已支付
O000271,U00028,2025-12-16,P011,精品挂耳咖啡,食品饮料,1,59.46,自然搜索,华东,已取消
O000272,U00836,2025-03-27,P004,补水面膜套装,美妆个护,1,80.66,信息流广告,华中,已支付
